Title,URL,Points,Author,Number of comments,Page number
"DoomScroll – Browse, Preview, and Play User-Made Doom Wads",https://doomscroll.cx,1,jsheard,0,1
Git Will Make Sense After This [video],https://www.youtube.com/watch?v=Ala6PHlYjmw,1,matthew16550,0,1
Show HN: cvfitr.com – An AI Job Application tailoring site,https://cvfitr.com,2,iamdavidmt,0,1
Dogalog: A realtime Prolog-based livecoding music environment,https://github.com/danja/dogalog,1,triska,0,1
University life: From 50 years ago to now (2019),https://www.timeshighereducation.com/student/blogs/university-life-50-years-ago-now,1,zeristor,0,1
Shai-Hulud compromised a dev machine and raided GitHub org access: a post-mortem,https://trigger.dev/blog/shai-hulud-postmortem,3,nkko,0,1
Scale Test-Time Compute with Parallel Coordinated Reasoning [pdf],https://github.com/stepfun-ai/PaCoRe/blob/main/pacore_report.pdf,1,nkko,0,1
Internet in the Age of Agents,https://thinkininpublic.substack.com/p/internet-in-the-age-of-agents,1,sujayk_33,0,1
"Willison on Merchant's ""Copywriters reveal how AI has decimated their industry""",https://simonwillison.net/2025/Dec/14/copywriters-reveal-how-ai-has-decimated-their-industry/,3,planckscnst,0,1
"How to install a Toolchain for clang on phones without root access (2024, 2025)",https://xdaforums.com/t/guide-how-to-install-a-toolchain-for-clang-on-phones-without-root-access.4710235/,1,sipofwater,2,1
How the invention of buttons led to simplicity and to planned obsolescence,https://mikajovicic.com/writing/button-invention-made-interface-simplicity-possible/,2,violinar,0,1
"Vanessa et S., magnifique dominatrice (13)",https://dominamag.com/suprematie-feminine/vanessa-et-s-magnifique-dominatrice-13/,1,ssoumi,0,1
Why We Age,https://onlinelibrary.wiley.com/doi/10.1002/brv.70109,2,XzetaU8,0,1
We Sent Our CEO to Dubai's Supercar Junkyards [video],https://www.youtube.com/watch?v=IrGCv3sZXAQ,1,teleforce,0,1
An open-source energy and latency profiler for LLMs: ELANA,https://arxiv.org/abs/2512.09946,1,nkko,0,1
Total Internet Shutdowns per Year,https://public.tableau.com/app/profile/zach.rosson/viz/STOP_v2/Dashboard1,3,vivzkestrel,1,1
Show HN: Made a simple tool to generate App Store / Play Store screenshots,https://kappmaker.com/app-screenshots-generator,1,mirzemehdi,0,1
An array index points between elements,https://blog.nelhage.com/2015/08/indices-point-between-elements/,1,fanf2,0,1
Single prompt to Gemini to 6M parameters model,https://github.com/javantanna/Axiom,1,javantanna,0,1
Show HN: 2zuz – Shopping search without promoted or junk results,https://2zuz.com,1,pedrozieg,0,1
"Show HN: A Simple, Fast, and Ad-Free Whois Lookup Tool",https://myip.casa/whois,1,myip_casa,0,1
Show HN: Stepped Actions – distributed workflow orchestration for Rails,https://github.com/envirobly/stepped,1,klevo,0,1
Evaluating GPT-5.2 Thinking: Cryptographic Challenge Case Study,https://www.irregular.com/publications/spell-bound-technical-case-study,1,jgeralnik,0,1
Startup Playbook,https://playbook.samaltman.com/,1,aleda145,0,1
Is P=NP?,https://adlrocha.substack.com/p/adlrocha-is-nnp,5,adlrocha,1,1
The state of the kernel Rust experiment,https://lwn.net/SubscriberLink/1050174/63aa7da43214c3ce/,1,birdculture,0,1
Self Driving Submarines,https://www.youtube.com/watch?v=AJSu-hUckFM,1,wiley1454,0,1
Randomx.js: Bringing Webmining Back from the Grave [video],https://www.youtube.com/watch?v=gmAgvHaw9w4,1,l-mdev,0,1
Surface Tension of Software,https://iamstelios.com/blog/surface-tension-of-software/,45,i8s,20,1
Sold – A Bill of Goods,https://medium.com/luminasticity/sold-a-bill-of-goods-fe48ea07ad20,1,bryanrasmussen,0,1
"DoomScroll – Browse, Preview, and Play User-Made Doom Wads",https://doomscroll.cx,1,jsheard,0,2
Git Will Make Sense After This [video],https://www.youtube.com/watch?v=Ala6PHlYjmw,1,matthew16550,0,2
Show HN: cvfitr.com – An AI Job Application tailoring site,https://cvfitr.com,2,iamdavidmt,0,2
Dogalog: A realtime Prolog-based livecoding music environment,https://github.com/danja/dogalog,1,triska,0,2
University life: From 50 years ago to now (2019),https://www.timeshighereducation.com/student/blogs/university-life-50-years-ago-now,1,zeristor,0,2
Shai-Hulud compromised a dev machine and raided GitHub org access: a post-mortem,https://trigger.dev/blog/shai-hulud-postmortem,3,nkko,0,2
Scale Test-Time Compute with Parallel Coordinated Reasoning [pdf],https://github.com/stepfun-ai/PaCoRe/blob/main/pacore_report.pdf,1,nkko,0,2
Internet in the Age of Agents,https://thinkininpublic.substack.com/p/internet-in-the-age-of-agents,1,sujayk_33,0,2
"Willison on Merchant's ""Copywriters reveal how AI has decimated their industry""",https://simonwillison.net/2025/Dec/14/copywriters-reveal-how-ai-has-decimated-their-industry/,3,planckscnst,0,2
"How to install a Toolchain for clang on phones without root access (2024, 2025)",https://xdaforums.com/t/guide-how-to-install-a-toolchain-for-clang-on-phones-without-root-access.4710235/,1,sipofwater,2,2
How the invention of buttons led to simplicity and to planned obsolescence,https://mikajovicic.com/writing/button-invention-made-interface-simplicity-possible/,2,violinar,0,2
"Vanessa et S., magnifique dominatrice (13)",https://dominamag.com/suprematie-feminine/vanessa-et-s-magnifique-dominatrice-13/,1,ssoumi,0,2
Why We Age,https://onlinelibrary.wiley.com/doi/10.1002/brv.70109,2,XzetaU8,0,2
We Sent Our CEO to Dubai's Supercar Junkyards [video],https://www.youtube.com/watch?v=IrGCv3sZXAQ,1,teleforce,0,2
An open-source energy and latency profiler for LLMs: ELANA,https://arxiv.org/abs/2512.09946,1,nkko,0,2
Total Internet Shutdowns per Year,https://public.tableau.com/app/profile/zach.rosson/viz/STOP_v2/Dashboard1,3,vivzkestrel,1,2
Show HN: Made a simple tool to generate App Store / Play Store screenshots,https://kappmaker.com/app-screenshots-generator,1,mirzemehdi,0,2
An array index points between elements,https://blog.nelhage.com/2015/08/indices-point-between-elements/,1,fanf2,0,2
Single prompt to Gemini to 6M parameters model,https://github.com/javantanna/Axiom,1,javantanna,0,2
Show HN: 2zuz – Shopping search without promoted or junk results,https://2zuz.com,1,pedrozieg,0,2
