Title,URL,Points,Author,Number of comments,Page number
Show HN: DoD CAC Authentication with Cloudflare Workers,https://github.com/willswire/dod-cac-auth-cloudflare-workers,1,willswire,0,1
The Power of Creative Destruction – Philippe Aghion Nobel Laureate Lecture Notes,https://liza.io/the-power-of-creative-destruction-philippe-aghion-nobel-laureate-lecture-notes/,1,drakonka,0,1
"African athlete lured to Russia for work, ends up on front lines of Ukraine war",https://www.abc.net.au/news/2025-12-14/athlete-says-russia-lured-him-for-work-then-sent-him-to-war/106122770,3,testrun,0,1
Recovering Anthony Bourdain's (really) lost Li.st's,https://sandyuraz.com/blogs/bourdain/,2,thecsw,1,1
Mental Shortcuts and Sensible Defaults,https://rojoroboto.com/newsletter/weekly-reflection-002,1,mooreds,0,1
The Era of Visual Studio Code (2020),https://blog.robenkleene.com/2020/09/21/the-era-of-visual-studio-code/,1,handfuloflight,1,1
Workday project at Washington University hits $266M,https://www.theregister.com/2025/12/12/washington_university_workday_costs_revealed/,8,sebastian_z,2,1
"Myna v2.0: contextual variants, more weights (and even supports APL)",https://github.com/sayyadirfanali/Myna/releases/tag/v2.0.0,2,todsacerdoti,0,1
Safari 26.2 Release Notes,https://developer.apple.com/documentation/safari-release-notes/safari-26_2-release-notes,1,ksec,0,1
Chrome Extension Manager,https://chromewebstore.google.com/detail/extension-manager-extensi/jafcieombbedhpdkjlhcggagepcgaihp,1,kaporalix,1,1
